Sl. No.,District,ULBs,Total_Households,Tap_Connections,No_Tap,Coverage_Percentage,Gap_Households,ULB_Density,Priority
1,Amritsar,7,364233,353417,10816,97.03047225265146,10816,1.9218467299777888e-05,2
2,Barnala,5,56514,42847,13667,75.81661181300208,13667,8.847365254627172e-05,1
3,Bathinda,16,74823,49150,25673,65.68835785787792,25673,0.00021383799099207462,0
4,Faridkot,3,64312,45540,18772,70.81104615001867,18772,4.6647592984202013e-05,1
5,Fazilka,4,80198,55296,24902,68.94935035786428,24902,4.987655552507544e-05,0
6,Firozpur,9,87531,61782,25749,70.5829934537478,25749,0.00010282071494670459,1
7,Gurdaspur,8,102677,55626,47051,54.17571608052436,47051,7.791423590482776e-05,0
8,Hoshiarpur,10,92020,69574,22446,75.60747663551402,22446,0.00010867202782003912,1
9,Jalandhar,12,60838,45576,15262,74.91370525000822,15262,0.0001972451428383576,1
10,Kapurthala,7,79785,66390,13395,83.21112991163753,13395,8.773578993545152e-05,2
11,Ludhiana,10,102654,73458,29196,71.55882868665616,29196,9.741461608899799e-05,1
12,Mansa,7,55098,38425,16673,69.73937347998113,16673,0.0001270463537696468,0
13,Moga,7,72076,55638,16438,77.19351795327155,16438,9.711970697596981e-05,2
14,Muktsar,4,74723,53195,21528,71.18959356556883,21528,5.3531041312581136e-05,1
15,Pathankot,3,58567,37684,20883,64.34340157426537,20883,5.1223385182782114e-05,0
16,Patiala,9,217529,172754,44775,79.41653756510625,44775,4.137379383898239e-05,2
17,Rupnagar,6,47735,42808,4927,89.678433015607,4927,0.00012569393526762335,2
18,S.A.S. Nagar (Mohali),8,137664,126469,11195,91.86788121803812,11195,5.811250581125058e-05,2
19,Sahid Bhagat SinghNagar,4,30885,21193,9692,68.61907074631698,9692,0.00012951270843451513,0
20,Sangrur,13,152880,120970,31910,79.12742019884877,31910,8.503401360544217e-05,2
21,Sirhind Fatehgarh Sahib,5,52250,32562,19688,62.31961722488039,19688,9.569377990430622e-05,0
22,Tarn Taran,4,42013,21295,20718,50.68669221431462,20718,9.520862590150668e-05,0
Total,Total,161,2107005,1641649,465356,77.91386351717247,465356,7.641177880451161e-05,2
